execution_time,anetple,dwoo,haanga,php,raintpl,savant,smarty,twig
1,1713,18269,22057,501,5132,2801,11947,8581
10,1336,18289,22092,474,5059,2676,9596,6831
20,1113,18976,20986,571,4541,2718,9667,6891
50,1145,18717,21387,639,5065,2573,9444,8473
100,1389,18776,22226,870,5147,2993,9915,10050
